date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:30:58	371982/371982	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2020:01:40%20GMT	https://botmaster.software/india/	C:/My%20Web%20Sites/fawa1/botmaster.software/india/index.html	(from )
05:30:58	124/124	---MCZ	200	added ('OK')	text/plain	date:Sun,%2015%20Dec%202024%2000:00:59%20GMT	https://botmaster.software/robots.txt		(from )
05:30:59	7086/7086	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202024%2023:29:27%20GMT	https://botmaster.software/wp-content/cache/tw_optimize/css/two_2630_aggregated_cde9717b0a64d4e9bba0c3df4f9f2687_delay.min.css?date=1734206500	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/cache/tw_optimize/css/two_2630_aggregated_cde9717b0a64d4e9bba0c3df4f9f2687_delay.min4ecd.css	(from https://botmaster.software/india/)
05:31:00	5361026/5361026	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202024%2023:29:27%20GMT	https://botmaster.software/wp-content/cache/tw_optimize/css/two_2630_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min.css?date=1734206500	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/cache/tw_optimize/css/two_2630_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min4ecd.css	(from https://botmaster.software/india/)
05:31:00	87553/87553	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2010:00:45%20GMT	https://botmaster.software/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-includes/js/jquery/jquery.minf43b.js	(from https://botmaster.software/india/)
05:31:00	13577/13577	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2010:00:44%20GMT	https://botmaster.software/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://botmaster.software/india/)
05:31:00	9636/9636	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2014%20Jul%202024%2009:57:12%20GMT	https://botmaster.software/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.1.2	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min4485.js	(from https://botmaster.software/india/)
05:31:00	8892/8892	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f6f07a01d1e4bf158ce3ece75016dc1%22	https://d2mpatx37cqexb.cloudfront.net/delightchat-whatsapp-widget/embeds/embed.min.js	C:/My%20Web%20Sites/fawa1/d2mpatx37cqexb.cloudfront.net/delightchat-whatsapp-widget/embeds/embed.min.js	(from https://botmaster.software/india/)
05:31:01	429/429	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2010:00:10%20GMT	https://botmaster.software/wp-content/uploads/2023/03/cropped-Bot-Master-1-32x32.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/cropped-Bot-Master-1-32x32.png	(from https://botmaster.software/india/)
05:31:01	1842/1842	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2010:00:21%20GMT	https://botmaster.software/wp-content/uploads/2023/03/cropped-Bot-Master-1-192x192.png	C:/My%20Web%20Sites/fawa1/botmaster.software/wp-content/uploads/2023/03/cropped-Bot-Master-1-192x192.png	(from https://botmaster.software/india/)
